Customer_ID,Membership,Response
1,Basic,No
2,Basic,No
3,Basic,No
4,Basic,No
5,Basic,No
6,Basic,No
7,Basic,No
8,Basic,No
9,Basic,No
10,Basic,No
11,Basic,No
12,Basic,No
13,Basic,No
14,Basic,No
15,Basic,Yes
16,Basic,Yes
17,Basic,Yes
18,Basic,Yes
19,Basic,Yes
20,Basic,Yes
21,Silver,No
22,Silver,No
23,Silver,No
24,Silver,No
25,Silver,No
26,Silver,No
27,Silver,No
28,Silver,No
29,Silver,No
30,Silver,No
31,Silver,Yes
32,Silver,Yes
33,Silver,Yes
34,Silver,Yes
35,Silver,Yes
36,Silver,Yes
37,Silver,Yes
38,Silver,Yes
39,Silver,Yes
40,Silver,Yes
41,Gold,No
42,Gold,No
43,Gold,No
44,Gold,No
45,Gold,No
46,Gold,No
47,Gold,Yes
48,Gold,Yes
49,Gold,Yes
50,Gold,Yes
51,Gold,Yes
52,Gold,Yes
53,Gold,Yes
54,Gold,Yes
55,Gold,Yes
56,Gold,Yes
57,Gold,Yes
58,Gold,Yes
59,Gold,Yes
60,Gold,Yes
