Customer_ID,City,Purchase_Amount
1,Abuja,12000
2,Abuja,13500
3,Abuja,14200
4,Abuja,12800
5,Abuja,15000
6,Abuja,13100
7,Abuja,14500
8,Abuja,13800
9,Abuja,12500
10,Abuja,15200
11,Abuja,13400
12,Abuja,14700
13,Abuja,12900
14,Abuja,14100
15,Abuja,13600
16,Abuja,15500
17,Abuja,12700
18,Abuja,14400
19,Abuja,13300
20,Abuja,14900
21,Abuja,13900
22,Abuja,12600
23,Abuja,15100
24,Abuja,13700
25,Abuja,14300
26,Abuja,13000
27,Abuja,14800
28,Abuja,13200
29,Abuja,14600
30,Abuja,12400
31,Abuja,15300
32,Abuja,13500
33,Abuja,14000
34,Abuja,12800
35,Abuja,15000
36,Abuja,13100
37,Abuja,14500
38,Abuja,13800
39,Abuja,12500
40,Abuja,15200
41,Abuja,13400
42,Abuja,14700
43,Abuja,12900
44,Abuja,14100
45,Abuja,13600
46,Abuja,15500
47,Abuja,12700
48,Abuja,14400
49,Abuja,13300
50,Abuja,14900
51,Abuja,13900
52,Abuja,12600
53,Abuja,15100
54,Abuja,13700
55,Abuja,14300
56,Abuja,13000
57,Abuja,14800
58,Abuja,13200
59,Abuja,14600
60,Abuja,12400
61,Abuja,15300
62,Abuja,13500
63,Abuja,14000
64,Abuja,12800
65,Abuja,15000
66,Abuja,13100
67,Abuja,14500
68,Abuja,13800
69,Abuja,12500
70,Abuja,15200
71,Lagos,16000
72,Lagos,17500
73,Lagos,16800
74,Lagos,18200
75,Lagos,17100
76,Lagos,16500
77,Lagos,17900
78,Lagos,17300
79,Lagos,18700
80,Lagos,16900
81,Lagos,17600
82,Lagos,18400
83,Lagos,16600
84,Lagos,18000
85,Lagos,17200
86,Lagos,18800
87,Lagos,16400
88,Lagos,17800
89,Lagos,17000
90,Lagos,18500
91,Lagos,17400
92,Lagos,18100
93,Lagos,16700
94,Lagos,18900
95,Lagos,16300
96,Lagos,17700
97,Lagos,17500
98,Lagos,16800
99,Lagos,18200
100,Lagos,17100
101,Lagos,16500
102,Lagos,17900
103,Lagos,17300
104,Lagos,18700
105,Lagos,16900
106,Lagos,17600
107,Lagos,18400
108,Lagos,16600
109,Lagos,18000
110,Lagos,17200
111,Lagos,18800
112,Lagos,16400
113,Lagos,17800
114,Lagos,17000
115,Lagos,18500
116,Lagos,17400
117,Lagos,18100
118,Lagos,16700
119,Lagos,18900
120,Lagos,16300
121,Lagos,17700
122,Lagos,17500
123,Lagos,16800
124,Lagos,18200
125,Lagos,17100
126,Lagos,16500
127,Lagos,17900
128,Lagos,17300
129,Lagos,18700
130,Lagos,16900
131,Lagos,17600
132,Lagos,18400
133,Lagos,16600
134,Lagos,18000
135,Lagos,17200
136,Kano,14500
137,Kano,15200
138,Kano,13900
139,Kano,16100
140,Kano,14800
141,Kano,15500
142,Kano,14300
143,Kano,15000
144,Kano,13700
145,Kano,15800
146,Kano,14600
147,Kano,15300
148,Kano,14100
149,Kano,15900
150,Kano,14900
151,Kano,15600
152,Kano,14400
153,Kano,15100
154,Kano,13800
155,Kano,16200
156,Kano,14700
157,Kano,15400
158,Kano,14200
159,Kano,16000
160,Kano,14800
161,Kano,15500
162,Kano,14300
163,Kano,15000
164,Kano,13700
165,Kano,15800
166,Kano,14600
167,Kano,15300
168,Kano,14100
169,Kano,15900
170,Kano,14900
171,Kano,15600
172,Kano,14400
173,Kano,15100
174,Kano,13800
175,Kano,16200
176,Kano,14700
177,Kano,15400
178,Kano,14200
179,Kano,16000
180,Kano,14800
181,Kano,15500
182,Kano,14300
183,Kano,15000
184,Kano,13700
185,Kano,15800
186,Kano,14600
187,Kano,15300
188,Kano,14100
189,Kano,15900
190,Kano,14900
191,Kano,15600
192,Kano,14400
193,Kano,15100
194,Kano,13800
195,Kano,16200
196,Kano,14700
197,Kano,15400
198,Kano,14200
199,Kano,16000
200,Kano,14800
